date,MKT,SMB,HML,RF
2020-10-31,-1.947534537878577,0.2476845210094801,1.430407119011106,0.0566315789473684
2020-11-30,15.222939712337393,0.5871186444309839,-0.7451616762640723,0.058313492063492
2020-12-31,10.893249631944238,0.8539837717966653,7.350615096908612,0.059905303030303
2021-01-31,3.498074290408102,1.4440006697258283,2.73755671204202,0.0579083333333333
2021-02-28,1.836353767653366,1.6554298537617895,0.8983375782785972,0.0559259259259259
2021-03-31,3.584301497879384,4.228756679502839,-3.1803226935896656,0.0570189393939394
2021-04-30,1.3196190065650992,5.068838008158052,-2.303436982232969,0.0548825757575757
2021-05-31,2.271239196382102,2.020673823438141,-2.9669375086852656,0.0508771929824561
2021-06-30,4.557734466613985,3.738870532062794,-8.729142934472623,0.0665340909090909
2021-07-31,-1.8022398366408736,-0.0328826673940383,-2.998727677401791,0.0758674242424242
2021-08-31,0.397446269772191,-1.7252227636693502,-3.394156767733504,0.0833769841269841
2021-09-30,-3.2870885095240916,3.096912980214212,-0.549785207327002,0.0893903508771929
2021-10-31,-2.8791391535789765,2.0025242939796755,-7.474720884553696,0.098188596491228
2021-11-30,-3.7460314258921623,-0.7740663684698064,0.4893235642571596,0.1115643939393939
2021-12-31,6.574427477985603,5.882037206312181,0.4100371056595414,0.1099927536231884
2022-01-31,-9.026999882882285,1.1247196196608271,4.3218834669119675,0.1185125
2022-02-28,2.341912712103933,0.534482416970997,-2.7214108288007512,0.1233379629629629
2022-03-31,3.1575725595823294,4.773692220172439,-8.140286852406177,0.1321468253968254
2022-04-30,-1.9451992523996449,1.4123371470400048,0.9364168082852692,0.1668730158730158
2022-05-31,0.5468041245487111,-2.4532951392624356,-0.0426571102875548,0.1707380952380952
2022-06-30,-13.394404788539276,-1.2398959828720997,2.1085568727401083,0.2165875
2022-07-31,6.106541190956959,-0.0274940875896009,-1.0395879870997744,0.2464880952380952
2022-08-31,0.8961514507704611,0.6501069037230118,-2.151931958277544,0.2489280303030303
2022-09-30,-12.926714420818609,-0.0138934282310071,3.069140842106914,0.27395
2022-10-31,6.932090521444772,-3.1271048798405756,3.8539036201254615,0.3001973684210526
2022-11-30,8.90321206662066,0.4302944437454048,-3.709266710699677,0.3198446969696969
2022-12-31,-8.285765612051907,5.122774189983033,-5.60334867776841,0.3087310606060606
2023-01-31,9.267413769159727,4.13228396224479,-3.962335104383323,0.2986666666666667
2023-02-28,1.0427931023467505,2.214269205379449,-4.538741422513293,0.2939666666666667
2023-03-31,4.13238746834453,0.6992481085720759,-2.11428592790283,0.2877045454545454
2023-04-30,3.1488177092265,0.4436722479780094,-4.169177973570845,0.2711499999999999
2023-05-31,4.225391933896411,3.2611885928401607,-1.7025265274123236,0.2847041666666666
2023-06-30,0.5034659259012292,2.051024872709086,-0.3304419918232339,0.2926031746031746
2023-07-31,7.421812137182377,-4.642781926524378,-6.861356221579758,0.2975039682539682
2023-08-31,-1.3661117145655586,4.247881779535419,-5.356900081486822,0.291344696969697
2023-09-30,-3.404414506586684,1.1255774697605143,5.0715037456875205,0.3008508771929824
2023-10-31,-6.822629301078507,-0.1417831772221073,6.993641615771294,0.3117280701754386
2023-11-30,11.73586837017728,-1.5363956818950142,-4.149046789699068,0.3101363636363636
2023-12-31,4.922631639309983,-0.7620973021292832,0.2612845006743796,0.2930041666666667
2024-01-31,-4.412182719300304,1.701347176248554,-0.5414016535470481,0.2819886363636364
2024-02-29,7.571836645761991,-2.9081085799657007,-0.3632233721638706,0.2861271929824561
2024-03-31,5.333960274244971,-1.8490626471836469,2.0272323209796825,0.281175
2024-04-30,-1.8752153745901592,1.977956316014037,-2.0518083387309196,0.2866309523809524
2024-05-31,-0.3007641415749144,4.6400635031020965,-6.972351155908807,0.2861291666666667
2024-06-30,6.3565312763914985,-4.085675668010112,6.129736584358566,0.2783859649122807
2024-07-31,0.077454324020864,1.4356832828690678,-1.8231321186050788,0.2674130434782608
2024-08-31,-2.391737581221004,-1.004943705658652,-4.16916186344657,0.2560674603174603
2024-09-30,-1.9438773814994832,3.1362173563726023,-10.062497481077289,0.2449074074074073
2024-10-31,-0.7901715894321012,0.2540520764395303,-3.254370181784499,0.2380833333333333
2024-11-30,-3.1689994710885636,-0.5787948833744151,-0.9468573432498336,0.2383769841269841
2024-12-31,-1.147717974385411,5.375347338710766,-7.098883755046509,0.2257619047619047
2025-01-31,6.217623769568569,0.0880123030365595,-5.193431462174974,0.2197777777777777
2025-02-28,2.0143205629144583,0.6990055979450089,-3.6187283204025222,0.2211708333333333
2025-03-31,-2.0759982046457592,-2.3230087549628373,8.089253510344491,0.2176916666666667
2025-04-30,4.883040525559353,5.666905222215868,-11.379338855493035,0.2067916666666666
2025-05-31,6.545596664757651,-2.5752692706084233,2.6557765184294877,0.1922061403508772
2025-06-30,15.013004545426677,-3.217255084460402,-1.378571506915649,0.1908728070175438
2025-07-31,6.864633508071059,-5.170309261389991,7.5085352476346765,0.1923514492753623
2025-08-31,-1.1191547982612162,0.6416536962225299,-1.8157158036703864,0.1886208333333333
2025-09-30,9.075038801916136,-3.1727436094977026,5.261107428078637,0.1899734848484848
2025-10-31,11.059488750914326,-9.431445122418156,5.742417317058604,0.1925
